,benchmark,target,total_iterations,threads,terms,series,start_rate,scheduler,min_time_ms,max_time_ms,median_time_ms,mean_time_ms,workers,precision,messages_per_worker,write_percentage,num_workers,grid_size,priorities,threshold,size,solution_limit,pings,haircuts,waiting_room_size,production_rate,haircut_rate,pieces,left,right,eating_rounds,philosophers,actors,size_percentage,meetings,chameneos,buffer_size,consumers,producers,items_per_producer,produce_cost,consume_cost,data_length,block_threshold,messages,accounts,transactions,block_size,max_edge_weight,rounds,smokers,data_size,max_value,seed,columns,simulations,channels
31,Radix Sort,lf-c,12,1,,,,GEDF_NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,
32,Filter Bank,lf-c,12,1,,,,adaptive,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0
33,NQueens first N solutions,lf-c,12,12,,,,adaptive,inf,inf,inf,inf,,,,,20.0,,10.0,4.0,12.0,1500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
34,All-Pairs Shortest Path,lf-c,12,12,,,,adaptive,inf,inf,inf,inf,,,,,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,100.0,,,,,,,,
35,Recursive Matrix Multiplication,lf-c,12,12,,,,adaptive,inf,inf,inf,inf,20.0,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,512.0,16384.0,,,,,,,,,,,,,
36,Sleeping Barber,lf-c,12,1,,,,NP,inf,inf,inf,inf,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
37,A-Star Search,lf-c,12,1,,,,adaptive,inf,inf,inf,inf,,,,,20.0,30.0,30.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
38,Recursive Matrix Multiplication,lf-c,12,12,,,,NP,inf,inf,inf,inf,20.0,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,512.0,16384.0,,,,,,,,,,,,,
39,Precise Pi Computation,lf-c,12,1,,,,adaptive,inf,inf,inf,inf,20.0,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
40,Concurrent Dictionary,lf-c,12,12,,,,adaptive,inf,inf,inf,inf,20.0,,10000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
41,Logistic Map Series,lf-c,12,1,25000.0,10.0,3.46,NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,A-Star Search,lf-c,12,1,,,,NP,inf,inf,inf,inf,,,,,20.0,30.0,30.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
43,NQueens first N solutions,lf-c,12,12,,,,NP,inf,inf,inf,inf,,,,,20.0,,10.0,4.0,12.0,1500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
44,Counting Actor,lf-c,12,12,,,,adaptive,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,
45,Bank Transaction,lf-c,12,1,,,,NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,
46,Ping Pong,lf-c,12,1,,,,NP,inf,inf,inf,inf,,,,,,,,,,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
47,Ping Pong,lf-c,12,1,,,,adaptive,inf,inf,inf,inf,,,,,,,,,,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
48,Bank Transaction,lf-c,12,12,,,,adaptive,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,
49,Counting Actor,lf-c,12,1,,,,GEDF_NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,
50,Sleeping Barber,lf-c,12,12,,,,adaptive,inf,inf,inf,inf,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
51,Fork Join (throughput),lf-c,12,12,,,,adaptive,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,10000.0,,,,,,,,,,,,
52,Counting Actor,lf-c,12,1,,,,adaptive,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,
53,Logistic Map Series,lf-c,12,12,25000.0,10.0,3.46,NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
54,Big,lf-c,12,1,,,,GEDF_NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,120.0,,,,,,,,,,,,500.0,,,,,,,,,,,,
55,Philosophers,lf-c,12,1,,,,GEDF_NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
56,Sleeping Barber,lf-c,12,1,,,,adaptive,inf,inf,inf,inf,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
57,Philosophers,lf-c,12,1,,,,NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
58,Chameneos,lf-c,12,1,,,,NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,200000.0,100.0,,,,,,,,,,,,,,,,,,,,,
59,Filter Bank,lf-c,12,1,,,,GEDF_NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0
60,NQueens first N solutions,lf-c,12,12,,,,GEDF_NP,inf,inf,inf,inf,,,,,20.0,,10.0,4.0,12.0,1500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
61,Counting Actor,lf-c,12,12,,,,GEDF_NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,
62,Thread Ring,lf-c,12,1,,,,GEDF_NP,inf,inf,inf,inf,,,,,,,,,,,1000000.0,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
63,Big,lf-c,12,12,,,,adaptive,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,120.0,,,,,,,,,,,,500.0,,,,,,,,,,,,
64,Ping Pong,lf-c,12,12,,,,adaptive,inf,inf,inf,inf,,,,,,,,,,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
65,Filter Bank,lf-c,12,12,,,,NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0
66,Big,lf-c,12,12,,,,GEDF_NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,120.0,,,,,,,,,,,,500.0,,,,,,,,,,,,
67,Precise Pi Computation,lf-c,12,12,,,,GEDF_NP,inf,inf,inf,inf,20.0,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
68,Philosophers,lf-c,12,12,,,,NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
69,Filter Bank,lf-c,12,1,,,,NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0
70,Philosophers,lf-c,12,1,,,,adaptive,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
71,All-Pairs Shortest Path,lf-c,12,12,,,,NP,inf,inf,inf,inf,,,,,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,100.0,,,,,,,,
72,All-Pairs Shortest Path,lf-c,12,1,,,,NP,inf,inf,inf,inf,,,,,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,100.0,,,,,,,,
73,Thread Ring,lf-c,12,12,,,,adaptive,inf,inf,inf,inf,,,,,,,,,,,1000000.0,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
74,Precise Pi Computation,lf-c,12,1,,,,NP,inf,inf,inf,inf,20.0,4250.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
75,Cigarette Smokers,lf-c,12,1,,,,GEDF_NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,200.0,,,,,,
76,Trapezoidal Approximation,lf-c,12,1,,,,GEDF_NP,inf,inf,inf,inf,100.0,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
77,Concurrent Sorted Linked List,lf-c,12,1,,,,adaptive,inf,inf,inf,inf,20.0,,1500.0,10.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
78,Chameneos,lf-c,12,12,,,,adaptive,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,200000.0,100.0,,,,,,,,,,,,,,,,,,,,,
79,Recursive Matrix Multiplication,lf-c,12,1,,,,adaptive,inf,inf,inf,inf,20.0,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,512.0,16384.0,,,,,,,,,,,,,
80,Big,lf-c,12,1,,,,NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,120.0,,,,,,,,,,,,500.0,,,,,,,,,,,,
81,Cigarette Smokers,lf-c,12,12,,,,adaptive,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,200.0,,,,,,
82,Radix Sort,lf-c,12,12,,,,adaptive,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,
83,Trapezoidal Approximation,lf-c,12,1,,,,NP,inf,inf,inf,inf,100.0,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
84,Trapezoidal Approximation,lf-c,12,12,,,,NP,inf,inf,inf,inf,100.0,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
85,Sleeping Barber,lf-c,12,12,,,,NP,inf,inf,inf,inf,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
86,All-Pairs Shortest Path,lf-c,12,1,,,,adaptive,inf,inf,inf,inf,,,,,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,100.0,,,,,,,,
87,Filter Bank,lf-c,12,12,,,,GEDF_NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0
88,Counting Actor,lf-c,12,12,,,,NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,
89,Radix Sort,lf-c,12,1,,,,adaptive,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,
90,Concurrent Sorted Linked List,lf-c,12,12,,,,adaptive,inf,inf,inf,inf,20.0,,1500.0,10.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
91,Concurrent Sorted Linked List,lf-c,12,1,,,,NP,inf,inf,inf,inf,20.0,,1500.0,10.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
92,Radix Sort,lf-c,12,1,,,,NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,
93,Concurrent Sorted Linked List,lf-c,12,1,,,,GEDF_NP,inf,inf,inf,inf,20.0,,1500.0,10.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
94,Fork Join (throughput),lf-c,12,1,,,,adaptive,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,10000.0,,,,,,,,,,,,
95,Chameneos,lf-c,12,12,,,,GEDF_NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,200000.0,100.0,,,,,,,,,,,,,,,,,,,,,
96,Cigarette Smokers,lf-c,12,1,,,,adaptive,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,200.0,,,,,,
97,Recursive Matrix Multiplication,lf-c,12,1,,,,NP,inf,inf,inf,inf,20.0,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,512.0,16384.0,,,,,,,,,,,,,
98,A-Star Search,lf-c,12,12,,,,GEDF_NP,inf,inf,inf,inf,,,,,20.0,30.0,30.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,Radix Sort,lf-c,12,12,,,,GEDF_NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,
100,All-Pairs Shortest Path,lf-c,12,12,,,,GEDF_NP,inf,inf,inf,inf,,,,,198.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,33.0,100.0,,,,,,,,
101,Logistic Map Series,lf-c,12,12,25000.0,10.0,3.46,GEDF_NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
102,Fork Join (throughput),lf-c,12,1,,,,GEDF_NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,10000.0,,,,,,,,,,,,
103,NQueens first N solutions,lf-c,12,1,,,,adaptive,inf,inf,inf,inf,,,,,20.0,,10.0,4.0,12.0,1500000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
104,Concurrent Sorted Linked List,lf-c,12,12,,,,GEDF_NP,inf,inf,inf,inf,20.0,,1500.0,10.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
105,Sleeping Barber,lf-c,12,12,,,,GEDF_NP,inf,inf,inf,inf,,,,,,,,,,,,2000.0,1000.0,1000.0,1000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106,Chameneos,lf-c,12,1,,,,adaptive,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,200000.0,100.0,,,,,,,,,,,,,,,,,,,,,
107,Big,lf-c,12,1,,,,adaptive,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,120.0,,,,,,,,,,,,500.0,,,,,,,,,,,,
108,Cigarette Smokers,lf-c,12,12,,,,NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,200.0,,,,,,
109,A-Star Search,lf-c,12,1,,,,GEDF_NP,inf,inf,inf,inf,,,,,20.0,30.0,30.0,2014.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110,Concurrent Dictionary,lf-c,12,1,,,,GEDF_NP,inf,inf,inf,inf,20.0,,10000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111,Bank Transaction,lf-c,12,1,,,,GEDF_NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,
112,Trapezoidal Approximation,lf-c,12,1,,,,adaptive,inf,inf,inf,inf,100.0,,,,,,,,,,,,,,,1250000.0,1.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
113,Producer Consumer (bounded),lf-c,12,1,,,,GEDF_NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,
114,Radix Sort,lf-c,12,12,,,,NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40000.0,1.152921504606847e+18,2048.0,,,
115,Big,lf-c,12,12,,,,NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,120.0,,,,,,,,,,,,500.0,,,,,,,,,,,,
116,Ping Pong,lf-c,12,12,,,,NP,inf,inf,inf,inf,,,,,,,,,,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117,Ping Pong,lf-c,12,1,,,,GEDF_NP,inf,inf,inf,inf,,,,,,,,,,,300000.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
118,Producer Consumer (bounded),lf-c,12,1,,,,NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,
119,Thread Ring,lf-c,12,12,,,,GEDF_NP,inf,inf,inf,inf,,,,,,,,,,,1000000.0,,,,,,,,,,100.0,,,,,,,,,,,,,,,,,,,,,,,,
120,Philosophers,lf-c,12,12,,,,GEDF_NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,10000.0,20.0,,,,,,,,,,,,,,,,,,,,,,,,,
121,Fork Join (throughput),lf-c,12,12,,,,GEDF_NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,10000.0,,,,,,,,,,,,
122,Chameneos,lf-c,12,1,,,,GEDF_NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,200000.0,100.0,,,,,,,,,,,,,,,,,,,,,
123,Fork Join (throughput),lf-c,12,1,,,,NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,60.0,,,,,,,,,,,,10000.0,,,,,,,,,,,,
124,Cigarette Smokers,lf-c,12,1,,,,NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,200.0,,,,,,
125,Recursive Matrix Multiplication,lf-c,12,12,,,,GEDF_NP,inf,inf,inf,inf,20.0,,,,,,10.0,,,,,,,,,,,,,,,,,,,,,,,,512.0,16384.0,,,,,,,,,,,,,
126,Filter Bank,lf-c,12,12,,,,adaptive,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,34816.0,8.0
127,Counting Actor,lf-c,12,1,,,,NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000000.0,,,,,,,,,,,,
128,Bank Transaction,lf-c,12,12,,,,NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,
129,Producer Consumer (bounded),lf-c,12,12,,,,GEDF_NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,50.0,40.0,40.0,100.0,25.0,25.0,,,,,,,,,,,,,,,
130,Concurrent Dictionary,lf-c,12,12,,,,GEDF_NP,inf,inf,inf,inf,20.0,,10000.0,10.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
131,Bank Transaction,lf-c,12,12,,,,GEDF_NP,inf,inf,inf,inf,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1000.0,12000.0,,,,,,,,,,
